hole_code,prospect,hole_type,sampling_type,drilling_purpose,latitude,longitude,east,north,rl,dip,azimuth,total_depth,epsg,grid_name,axis_units,grid_confidence,drilling_start_date,drilling_end_date,collar_page
CVEX005,Cheer,RC,drilling,exploration,-29.94583,121.115633,318142,6685724,370,-60,20,120,28351,,metres,inferred,,,8
CVEX013,Cheer,RC,drilling,exploration,-29.945736,121.117904,318361,6685738,370,-50,15,78,28351,,metres,inferred,,,8
CVEX019,Cheer,RC,drilling,,-29.945117,121.114994,318079,6685802,370,-60,15,54,28351,,metres,inferred,,,8
CVEX020,Cheer,RC,drilling,,-29.945314,121.114907,318071,6685780,370,-60,15,78,28351,,metres,inferred,,,8
CVEX021,Cheer,RC,drilling,,-29.945557,121.114841,318065,6685753,370,-65,15,114,28351,,metres,inferred,,,8
CVEX022,Cheer,RC,drilling,,-29.945835,121.114773,318059,6685722,370,-65,15,156,28351,,metres,inferred,,,8
CVEX023,Cheer,RC,drilling,,-29.945004,121.114675,318048,6685814,370,-50,15,54,28351,,metres,inferred,,,8
CVEX024,Cheer,RC,drilling,,-29.945301,121.114618,318043,6685781,370,-60,15,84,28351,,metres,inferred,,,8
CVEX025,Cheer,RC,drilling,,-29.945497,121.114469,318029,6685759,370,-60,15,96,28351,,metres,inferred,,,8
CVEX027,Cheer,RC,drilling,,-29.945308,121.115726,318150,6685782,370,-50,20,60,28351,,metres,inferred,,,8
CVEX028,Cheer,RC,drilling,,-29.946766,121.219289,328149,6685780,370,-80,20,96,28351,,metres,inferred,,,8
CVEX029,Cheer,RC,drilling,,-29.945397,121.116273,318203,6685773,370,-50,0,72,28351,,metres,inferred,,,8
CVEX030,Cheer,RC,drilling,,-29.94627,121.118681,318437,6685680,370,-55,15,138,28351,,metres,inferred,,,8
CVEX031,Cheer,RC,drilling,,-29.946279,121.118681,318437,6685679,370,-70,15,141,28351,,metres,inferred,,,9
CVEX032,Cheer,RC,drilling,,-29.945668,121.11947,318512,6685748,370,-60,0,60,28351,,metres,inferred,,,9
CVEX033,Cheer,RC,drilling,,-29.945919,121.119372,318503,6685720,370,-60,0,96,28351,,metres,inferred,,,9
CVEX034,Cheer,RC,drilling,,-29.946216,121.119283,318495,6685687,370,-60,10,47,28351,,metres,inferred,,,9
CVEX035,Cheer,RC,drilling,,-29.946243,121.119293,318496,6685684,380,-70,15,162,28351,,metres,inferred,,,9
CVEX036,Cheer,RC,drilling,,-29.945506,121.114469,318029,6685758,380,-75,15,138,28351,,metres,inferred,,,9
CVEX037,Cheer,RC,drilling,,-29.945627,121.114062,317990,6685744,380,-60,15,102,28351,,metres,inferred,,,9
CVEX038,Cheer,RC,drilling,,-29.945505,121.113775,317962,6685757,380,-60,15,90,28351,,metres,inferred,,,9
STEX001,Sovereign,RC,drilling,,-29.953003,121.129008,319446,6684950,380,-60,60,54,28351,,metres,inferred,,,9
STEX002,Sovereign,RC,drilling,,-29.95327,121.12806,319355,6684919,380,-55,55,186,28351,,metres,inferred,,,9
STEX003,Sovereign,RC,drilling,,-29.95197,121.12738,319287,6685062,380,-60,60,138,28351,,metres,inferred,,,9
STEX004,Sovereign,RC,drilling,,-29.95214,121.126683,319220,6685042,380,-60,60,157,28351,,metres,inferred,,,9
STEX005,Sovereign,RC,drilling,,-29.952158,121.126672,319219,6685040,380,-90,0,130,28351,,metres,inferred,,,9
STEX006,Sovereign,RC,drilling,,-29.951524,121.126518,319203,6685110,380,-90,60,130,28351,,metres,inferred,,,9
STEX007,Sovereign,RC,drilling,,-29.951525,121.126529,319204,6685110,380,-60,65,168,28351,,metres,inferred,,,9
STEX008,Sovereign,RC,drilling,,-29.953185,121.128445,319392,6684929,380,-60,65,138,28351,,metres,inferred,,,9
STEX011,Sovereign,RC,drilling,,-29.953199,121.127554,319306,6684926,383,-50,50,222,28351,,metres,inferred,,,9
STEX014,Sovereign,RC,drilling,,-29.953371,121.129468,319491,6684910,380,-60,55,60,28351,,metres,inferred,,,9
